ReviewText,Rating,Sentiment
"sonalin has a great voice.. 😍 must visit the place once.. became fan of her. the food is good.. 5 star from my side. live music, lightening everything is just awesome 😍",5,Positive
i heard her voice..she is too beautiful with amazing voice ..just love her voice the way she sings 😍 became fan of sonalin priyadarshini. good place must visit. the food is also nice..,5,Positive
sonalin is a very good singer in the city.. beautiful face with beautiful face must visit this place .. beautiful live music.. loved it.. 😍 loved the food as well. very good lightning.,5,Positive
"food is descent enough. desert options were also good
starrers were also tasty.
one bad experience ee had is waiting time even though we booked table prior time.",4,Positive
"short review: decent breads and starters, bad shaam savera, a little screwed up daal makhni (but should be a one-off case)
better ambience at night... and importantly good quantity!
i wanted to give a 2.5 but that's not an option 🙈
extensive...
ambience: it's better at night. friends who had been here during the day didn't like it much. so if you prefer ambience, go at night!
food! ordered a hara bhara kebab, shaam savera, daal makhni, rotis and raita (yes! i'm a vegetarian 🙈)
the good part! quantity 😍
i was excited to see shaam savera on their menu. but take it from me, you do not want to order it. it is no where close to what it should be. they messed it up real bad, especially the colors.
the daal makhni had big chunks of garlic cloves which spoiled it for me. it wasn't creamy too :(
the breads and raita were decent!
the hara bhara kebabs were decent too, soft! they had an extra outer coating of peanuts. so if you're not a peanut fan on your kebabs, ask them to skip that step 🙈
conclusion: it looked like they had made food in a hurry.
would like to give this place another try hoping that mine was one of the odd cases. if things change, you'll know!",3,Neutral
"excellent food and very good service by soumen das..
ambience was good too with live music. food was served timely. decor of the restaurant was amazing as well.",5,Positive
my review for this place would be 5star for the ambeince and the service from the staff which lacks in lot's of place even though the food is good in places like these. special hey to papiya shuvro!,5,Positive
"it was a very nice experience. food was amazing. friendly staff, with welcoming attitude. papia was very friendly and accommodating. good ambiance. i will definitely recommend this place.",5,Positive
"had dinner with my friends. menu is perfect, something for everyone. service was awesome and papia was very accommodating. good ambience with amazing live music. will be back definitely!",5,Positive
service experience was very good especially by papiya. food served was very good and tasty and they served it very well. i would like to visit beyond again and will recommend it to friends for its food and its reasonable price.,5,Positive
"service , food and ambiance was very nice. staff was very humble while taking order and while serving food. live music was like cherry on the cake",5,Positive
the food was ❤️.. we ordered banjara tangdi for starter which was the best among all.. papiya shuvro was well mannered and her service was best among all.,5,Positive
staff are just polite and responsive. food is the best part here. and it is better as ambience also awesome here. i met two persons here named papiya and shuvro who are the best at their services. food items i liked here were basket biryani and kodi drum sticks. finally just loved.,5,Positive
"i came here with my parents. we ordered for thai peneer tikka, kaju pulao and veg biryani. the kaju pulao and veg biryani were really good. this is a decent place to go with family. shubro and papiya served well.",4,Positive
well we’re new to hyderabad . and i can for a fact say that it’s probably the best place i’ve eaten a buffet at in hyderabad period . especially id like to thank shurvo and papiya for their amazing service . double metha was just too good . overall a worthwhile experience,5,Positive
"wonderful place with awesome ambience, best to visit at night to see all the pretty lights and to enjoy some savory foods. shubro and papiya were good with service.",5,Positive
"good ambience and great service.we've had buffet for 25 people.the waiters were patient and we even got noodles replaced since the one served in the buffet went bad.
shoutout to shubro and pradeep ,took care of our entire afternoon.",4,Positive
"my review of the place comes after multiple visits, that have spanned over 4 months. and now i can safely say that it's one of the good places around.
they're located near the biodiversity signal, above fabindia. there's ample parking for both two and four wheelers. the ambience is a bit dim after dark, and the seating is divided into various options, including a pdr section.
the menu design is in the shape of a bottle, and the array spans continental, chinese and indian cuisines. here's the list of things that i have tried, across all my visits

panko crumbed mozzarella sticks ❤️ - cheese sticks that are coated and fried. pure cheese bliss.
veg lasagna ❤️ - this place has one of the good lasagne in the town.
crispy chilli corn kernels - the usual favourite, this one has a slightly different presentation here.
makhmali paneer tikka -
cottage cheese shashlik sizzler
italian nachos - nachos topped with red sauce and cheese, and baked in the dish.
cheese and cheese pizza ❤️ - soft base pizza, loaded with cheese, and a few pieces of green olives.

i cannot stress enough on how i have loved all that i tried here. i have also tried out their lunch buffet. the variety may not be as elaborate as other places, but with the food quality and the discount that they offer for bulk bookings, it is at least a one-time try. but what i really adore here is their mocktails. beyond delight is an absolute delight! also a fan of the guava and chilli, and apple and kiwi night drinks.

the staff is ever so courteous. a special mention to papiya and shuvro, who were our attendants on the latest visit. the place has zomato gold 1+1, which further brings down their reasonable rates. a meal for two would roughly be around 700, that fills not only your tummy, but also you heart!",4,Positive
had lunch today at beyond flavors .the food was very good and delicious and awesome service was provided by soumen das & shuvro. would highly recommend the restaurant .,5,Positive
the reason for giving only a 3 star is because of the longlong time wait for the tables. we went on friday afternoon. we waited almost more than 30mins to get a table. we lost our patience and left for another restaurant as v didn't get a table even aftr waiting for such a long time.i think restaurant management should take this into consideration and try to decrease the waiting time of customer.,3,Neutral
"service is really exceptional. cheers to manav, who served us really well. food was nice too. loved the ambience too, with nice music playing in the background.",4,Positive
"soumen das waited our table! thanks buddy for a great service. will visit soon!
soumen das waited our table! thanks buddy for a great service. will visit soon!soumen das waited our table! thanks buddy for a great service. will visit soon!
soumen das waited our table! thanks buddy for a great service. will visit soon!",5,Positive
papiya shuvro was great. she helped us get the tables quickly and suggested us the best sizzlers in the menu. ambience was awesome. she suggested the best table and was very helpful till we were there. will visit again for the awesome service. you guys should try as well if u plan to take your loved one n give an osm experience then this is the place.,5,Positive
"quite good ambience,liked special restro biryani,must try,like the service papiya and shuvro,they were really good at der service.will like to visit again.its nice place to visit specially at nyt tym.food was yum.should try biryani.",5,Positive
pradeep and shubroto were amazing and friendly. service was awesome n food out of the world.must visit for all people out there. will visit again,5,Positive
we visited this place for a colleagues farewell. we had a really great time.good food and service by pradeep and shobro. will come again later,5,Positive
"the restaurant has an amazing ambience. staff is polite and suggest good recommendations on food. if you visit beyond flavours sometime, do reach out to papiya and shuvro as she can suggest some really good dishes.",5,Positive
excellent food and service. special mention for papiya shuvro. surprised to see such good quality food being served at such low prices. ambience is quite good too. highly recommended.,5,Positive
papiya and shuvro as the f&b executives were really courteous and friendly. thoroughly enjoyed our experience here. good place for a cute lil date hehe and for a nice family dinner.,5,Positive
"this was the first time we visited this restaurant and the experience was good in terms of food, hospitality, service and ambience. thanks to shubro and papiya for their hospitality",5,Positive
"we went for lunch buffet yesterday and took a chance after seeing some good and some average reviews in zomato.

the spread in buffet is too less, just 3 veg and 3 non veg starters, 2 main course in veg and non veg, just one fried rice and chicken biryani.
desserts are ice cream and jamun.

the taste was ok and not to expect too much. little disappointing when starters are not hot.

fish fry was decent, schezwan chicken was ok.
veg spring rolls were too good.
big surprise for me is onion rings as starters 🤣😂

kadai ghost in main course was good but missing that masala flavour.
chicken was ok. biryani is average, egg fried rice was good.

for the money we pay, we expect some good food. they use much of colour in food item's.

suggestion to management is use less coating and less food colouring in starters.

overall experience is ok, but they can be much better for the amount you pay.",3,Neutral
the place is just beyond beautiful. ambience is excellent and food is good. the service by soumen das is extremely good. highly recommended place.,4,Positive
"i have been to beyond a few times and have tried out a lot of their dishes, it never disappoints.
i would specially recommend their soups, the healthy broth soup and the roasted chicken soup are amazing.
in addition the service is great and our server papiya was very courteous and prompt. this place has become my go to place for a good dining experience.",5,Positive
if you have time to waste for taste u r most welcome ... the taste was really superb but the service was very very slow..! dishes were impressively having different flavours which i liked..!,4,Positive
the food here is good and would add on if you could increase your spread.ananya was courteous and good at serving..!!ambience was also good and was peaceful...........................!!!!!!!!!!♥️♥️♥️♥️♥️♥️♥️♥️♥️,5,Positive
"pardeep and shubrat has served great food and great ambience. must try !!!

the food is awesome and ambience is too good. a great place to go with a team",5,Positive
"one of the best restaurants in hyderabad near gachibowli.. ambiance was good.. lunch spread was good and was very tasty.
thank papiya for her guidance.",5,Positive
i really liked the food here it was different from what we get in every other restaurant ..really appreciate the service by papiya..loved the presentation of the food..,5,Positive
had a good food and good time at this place.. ambience was really good and had a nice time... thanks @shubro for assistance and guidance for having food..,4,Positive
"best place to hangout...😊
food is really great...
thanks papiya for the service...😊
staff was reallly co-operative...
ambience is really great, especially pdr(private dining room) is awesome...😍👌🏻",5,Positive
"we went for a team lunch, such a worst restaurant.. food was tasteless, service was very slow and ac was not working. we’ve requested them multiple times but its of no use. please don’t waste your money and i strictly recommend not to prefer beyond flavours,",1,Very Negative
"discovered this place while returning from an despicable day at the office. walked in, and ordered some food thinking it'd be the same takeout food one could get at any outlet.
but. but, the food turned out to be a saviour. and the way they've designed this place is indeed remarkable. the lights, and the mixed setup would give you a retro feel. good for a normal group of people who would want to sit and a have a great conversation over food.",5,Positive
"second time being here it's really beyond imagination beyond taste and beyond flavours as well. very courteous staff and very hospitile.
taste is good but the best part is presentation,,, it's really meeting the standard of a 5 star restaurant .
very impressed with mr ahmed , pradeep and mr dipanajan who are very friendly and took care of us very well. good job guys keep it up.",5,Positive
"we ordered vegetable lasagne and sizzler chicken tikka, both of which were absolutely delicious. the ambience is amazing and the service is good.",5,Positive
one of the best food experiences i had in hyderabad. the desserts was yum. appricot pudding is must have. @ahmed khan your service was unparalled. keep up the good work.,5,Positive
"ahmed was a great help in beyond flavour... he may suggest great food as he has good experience. the staters and sizzler was too good. the sauce that was use in the chicken dish was awsome. nan was very soft even if you take without butter you can easily eat.
great experience in beyond flavors.",5,Positive
had dinner at this place and the attendant was papiya. the staff is very friendly and the ambiance is awesome. good variety of food and beverages.,5,Positive
"we happened to go to this place on last sunday and it was mothers day and they had flat 50 on the buffet meal for the mother which i really liked..needless to say the ambience and music was really good .we had a reservation but had to wait fir 10 mins to get a seat..they served us mango juice as wrlcome drink which tasted really good.the buffet spread was one of a kind:
strters : veg : paneer tikka, veg spring roll and veg cutlet.they were lil cold but the taste wad good
non veg : chicken kebab , chicken manchurian and fish .fish was very tasty though it coupd taste better if it was hot.chicken was fair enuf.
singapore noodles,egg salad and pasta : they were good but it was cold.
main course: mutton rogan josh, chicken tikka masala,palak paneer all were equally good
biriyani: egg frued rice and chicken biriyani were really great.
desserts : moong dal halwa tasted really yumm, ice cream,gulab jamun,cut fruits,banana cake

the staff were too slow in service and the food was refilles very slow.we had to wait for quite long time to actually eat to stomach full.

they could improve the above points to stand better!
overall :3.2",3,Neutral
"good ambience with an absolutely delicious food.
i’ve got best company here by ananya (beyond flavours)
the place is quite and has peaceful music with fun loving staff.
great place for friends.",4,Positive
"i have been at this place for dinner a few days back. the ambience was good. the restaurant was almost half occupied. we immediately got a table. but then waited for 10 mins to get water and menu, that too after a few reminders. we ordered a few starters, main course items and mock drinks. only the starters could be served in 30 mins. there was no sign of mock drinks! we noticed similar service issues on other tables. noticed guests literally shouting on the staff.

the food was just average. dishes were not prepared well, at least when compared to 4.1 rating on zomato.

we finally decided to just have starters, and hop onto another restaurant for rest of the meal!",2,Negative
"i have been to this place twice and had 2 different experiences.
1st time it was with colleagues and i loved the food and ambience and service and everything except the prices as it was too costly. their special baked biriyani is work a try, it's unique and tasty.
because of the good experience i revisited this place with my sister. she orders a mocktail and it was terrible.they replace it but it was still not good. and then i asked them about a starter, if it was with bone or boneless and they told me it was boneless, later on the arrival they told me that it comes with both. it's disappointing to know that the staff doesn't know about the menu.",3,Neutral
"it's one of the best places to hangout with friends. seemed like a quiet common place for group lunches etc.
food was very good and the ambience was also very nice.
loved everything.❤",5,Positive
ambience is good and staff are polite and friendly. food is super good and had nice time having lunch .... keep up the good work. thank you for your nice hospitality. loved it 💕 💕 💕,5,Positive
"i would like to introduce this restaurant to a new ingredient called salt. if you add that yo your food, it would taste way better. so basically none of the food we ordered had salt. we ordered fries, panko mozzarella sticks, tomato cream soup, panner65 & ""italian"" nachos. not sure how that was nachos or italian. they basically bought a pack of dorittos and added mozarella cheese on top. the beans were not baked at all, and the entire dish was cold except for the plate that it was brought in. pretty sure they just dumped the items and stashed it inside a microwave. the paneer 65 was horrendous. might as well called it garlic 65 with no salt. next was the mozarella sticks, which was again cold and no salt. the only decent item that we got was the fries and the soup. thanks to gid we didnt order any main course. all these came up to 1300 and odd. thanks to zomato gold, our price went down. this place is way too expensive for the quality of food they serve. and talking about the restaurant in general, the place looks decent but there are stoves stashed under tables and seats and plants kept at inconvenient spots. they really need to clean up more.",1,Very Negative
"hostile staff, okeish food, not so great ambiance. not sure how the rating on zomato stands at 4.1
starters we're decent but main course was horrible.
will not suggest this place.",1,Very Negative
"thanks ahmed food is great will recommend to visit again and again. service is excellent and ambience is good , we had a great time with my family",5,Positive
"this is the place where the flavor of food and service are like beyond good ,beyond expectations and really really quality and worth of money.i am personally highly recommend this place.great flavour of food and very much prompt service.ambience is also enhance the flavor of this restaurant.",5,Positive
food quality and taste is not good. super slow service. nice ambience but very poor in customer handling. lot of items not available even if in the menu.,2,Negative
"this was my worst experience at a restaurant ever. first our starters were served after half an hour of ordering and the chicken popcorn had a hair strand in it yuck! then the guy who took our main course order forgot about it completely so we had to order again after waiting for almost an hour. then had to wait for another half hour to get our food. and the worst of all, they got us chicken lasagna instead of veg lasagna. we figured out that it was chicken right before one of my staunch vegetarian friend almost ate it. i do not recommend this place at all. there are so many better places in gachibowli that could save your time and provide better service.",1,Very Negative
this is the place i really recommend this restaurant to the food lover specifically the continental food lover.pasta and sizzlers are so yummy that i cant stop myself to choose only this restaurant rather than other.service is the part were you really satisfied.,5,Positive
"i'm very much impressed by the quality of food and service. specially mr ahmed, thank you for your politeness and readiness. about food i can only say that it is beyond flavours. loved this place. must visit, great ambience.",5,Positive
the food was indeed beyond falvours. ahmed served us well. hoping to meet next time soon. a great ambience and amazing songs on the background added innumerous flavours to the delicious food.,5,Positive
starters are very good and service is also good. ahmed is very polite and helped us selecting menu.l which tuned out be great. would like to come back again.,5,Positive
"had a very bad experience here
beyond flavours really puts you beyond all the flavours
had gone here for dinner and the next day had to get hospitalised because of food infection
i guess the food was not served fresh",1,Very Negative
lovely ambience..roasted chicken soup was the highlight of our dinner..basket biryani was full of flavours and yumm.lasagne was great.nice to go with whole family.appetisers quantity is less though.,4,Positive
i liked the food and ambience but the problem is with the staff.. they are not so responsive.. we’ve ordered one item but we got something else.. otherwise place and the food are good..,2,Negative
it’s a worst service experience. food was ok. they took 45mins to get veg pulav. never seen a restaurant to take such time. won’t visit again.,1,Very Negative
waiters are not good enough and you will get items which you have not ordered. overall a bad experience. waiting time is more than expected...,1,Very Negative
"awesome food, very good ambience, centrally located, ample parking....coordination between serving boys / service has scope for improvement, boys very courteous though. not sure why the bar was closed on a saturday evening....overall good experience & extremely value for money....will visit again!",4,Positive
was there for office lunch outing. rating would be mixed because food was fine but service was very bad. booked table a day before but still had to wait for 30-40 mins to get one. manager was polite but gave some rubbish reasons for bad service. ambiance is fine.,3,Neutral
"i really enjoyed the follows....
the entrance, the music, lighting, seating arrangement, decorations everything is just awsome. the food and the best service enhance the flavour of the restaurant. i realy recommend this restaurant...",5,Positive
"i came first time in this restaurant.
the entrance, the music, lighting, seating arrangement, decorations everything is just awsome. the food and the best service enhance the flavour of the restaurant.",5,Positive
"pathetic and horrible experience
ambience and hospitality 1
food 1
chairs and tables were broken food is cold and tasteless
buffet arrangement is not good could be a bit more spacious",2,Negative
ahmed was serving us. polite and very cooperative staff..amazing food and ambience..veg gilaffi kabab and lasgna was a must try..loved overall experience....,4,Positive
paradise biryani is really good service also good staff friendly ambiance nice i had chicken biryani and mutton biryani both are good thank you,5,Positive
"chiken biryani is very good and
spcal chiken cary is very good and testy food
and
so enjoy the food and
next time visiting again with my family and friends",5,Positive
"very good hospitality,good ambiance and very good food ,v good facility of packing biriyani to long distances good place to visit mainly for hyderabad biriyani",5,Positive
"good food and tasty, better to have music while having food, better have quick response...and everything other than these are good. and good environment",5,Positive
goodtaste...ever.... paradise makes magic.chefs will gladly prepare it the way u prefer. they are nice to serve everyone...this is the world best biryani.,5,Positive
food quality is good..but some.takes more time when the food arrives.but food taste was too good..staff was good..perfect for family for lunch or dinner...enjoy,4,Positive
"tasty food with good service , enjoyed a lot at paradise, quick response from the providers , fast delivery,tasty food ,good place ,good for economic people",5,Positive
ordered one chicken and one mutton biryani and it was very good. paradise is definitly a great restaurant for biryani. restaurant ambinence is good along with quick service.,5,Positive
"always the best , my all time favorite food, biryani ka baap , every time i visit i feel something special, i almost visited 20 times , simply the best",4,Positive
good taste and love to visit again ...... with my family and friends... hopefully enjoyed the taste of biryani.... and make this happens every time,5,Positive
"as usual the food is always good - world famous biryani.
i love to eat paradise biryani where ever i am.
service n ambiance are also very good.",5,Positive
"we ordered tandoori chicken as starters that's very tasty and light and then butter naan with mutton masala and as main course we ordered chicken biryani, egg and mutton biryani those are very very tasty and light mutton piecs cooked with perfection",4,Positive
"very fri approach and services, especially by shri krishan. very excellent service rendered. dishes are very tasty. like to visit again and will recommend to friends.",5,Positive
"order: drumsticks and chicken biryani

just awesome taste and good service

5* rating

good response from service boys and good serving

good seating",5,Positive
the food and the hospitality of the staff is amazing and the service was very fast ambience of the place is really good i really recommened everyone to try kadai chicken,5,Positive
service was good and food also good ambiance good i had chicken biriyani and egg biriyani both are really good nice service with good food overall good,5,Positive
"i ordered chicken biryani and egg biriyani. food is awesome, very nice place and great ambitious. will definitely come again next time and service is too good....",5,Positive
"friendly. nice service chicken biryani is delicious
curry bowl design nice... nice temp nice as cooling nice tooth pics nice spot for selfie nice restaurant settings",5,Positive
very nice and humble staff. very tasty biryani. many people told me that try another place but paradise is truly paradise for biryani lovers.,5,Positive
nice restaurant with friendly and courteous staff and variety of options to choose from. the curry and raita are really good. there are some good options for veggies also that they can try.,4,Positive
food is good and the staff is very humble. had a great time with my people 😍good service good food nise ambiance no 1 biriyani in hybd not hybd in india,5,Positive
"haleem is good.
egg biryani is also tasty when compared to other places and
service is very good and
so i am happy
next time visiting again soon with my friends",4,Positive
"haleem is very good a d
chiken biryani is very good and
nice place in paradise gachibowli so i am happy 😊
next time visiting again with my friends",5,Positive
"i have ordered 2 special chicken biryani's and received two ordinary biryani's with bones! this is a big time disappointment. this place was known for its biryani and now i feel like i have had a worst biryani.

it costed 400 bucks each and receiving the same 200 bucks biryani has been my worst experience.",1,Very Negative
"very nice taste and good maintenance.
nizam chicken biryani too good.
pepper chicken very tasty
service is very fast and good receiving
please visit for tasty food",5,Positive
"the parans is very good and
ege biryani is very good and
service is very good and
next time visit again with my friends and family lastly thank you",5,Positive
"very nice place to eat, great food and great service.
value for money. great ambience.
highly recommended.
prices a bit high.
but definitely worth it",5,Positive
good food and good service. good options for vegetarians also. desserts are very tasty. ambience is also neat and the place looks very hygienic,4,Positive
"ege biriyani is very good and
service is very good and
nice place in paradise gachibowli
so i am happy next time visit again with my friends and family",5,Positive
the food was especially haleem. people who hate mutton smell but wanted to taste haleem can go try this restaurant. service and ambience was cool.,5,Positive
"chicken biriyani is very good and service is very good and
nice place so i am happy and enjoy the food
and
next time visit again with my family and friends",5,Positive
"the chicken biriyani is very good and
nice place in paradise gachibowli
and service is very good
so nice and enjoy the food. next time visit again soon with my friends",5,Positive
"awesome biryani and kebabs. apollo fish is the best one here.
clean and hygienic food.
courteous staff and prompt service response.
keep up the good work.",5,Positive
nice staff food is good and tasty....ambience is good..service is good and staff is very polite with customers......overall food is great woowwwwwww,5,Positive
"it's very nice place to enjoy the food. servive is very good and food is delicious. decent ambience, good place to enjoy the nizamis food in hyderabad.",4,Positive
awesome service by rajesh and team very tasty food and brevage keep rocking guys now it become my favourite place .love to come back again...,5,Positive
"it's a really delicious though not much spicy, good to grab on the go and must try if ur looking for some good non veg stuff and also you can get to experience good ambience",5,Positive
"very bad dine in experience i had with this restaurant. we booked this place for office lunch with some instructions, but none of them met by the restaurant. overall very bad experience",1,Very Negative
as always the best food and service :) and chicken 65 is very good and chicken biryani is very good and nice place soo enjoy the food lastly so thank you,5,Positive
very good service and excellent food chicken biryani mutton biryani both are good ambience also very nice good staff overall good food good service happy time,5,Positive
"taste: there was huge hype about biryani hence i tried it, didn't find the taste up-to par, not really happy with the food taste.
ambience: the place was well versed but not calming enough to keep you concentrated on food. the ac wasn't working properly which led to uneasy food experience.
service: it was alright. don't have much to talk about it!",3,Neutral
"mutton biryani was very good.
and
service was very good and
nice place in paradise gachibowli
and
next time visiting again with my family and friends",5,Positive
"tanduri chiken is very good and
chiken biriyani is very good and
nice place in paradise gachibowli
i am happy and enjoy the food
and service is very good",5,Positive
"paradise, gachibowli is an amazing restaurant. i've always received a very warm service and an amazing food. saleem has been a wonderful server and provided a very good service. really love this place.",5,Positive
"mutton biryani was nice and awesome, chicken tikka was great it was my favourite... the service was nice and polite we had nice time here will visit soon finally upto mint thats great",5,Positive
had a good time and best service...near place to come. food is very tasty and good. good good good food very nice restaurant. we would like to come over again and again thank you so much the tasty food,5,Positive
taste of the biriyani is well defined with the taste of flavour .the price of the biriyani is quite more .but leaving that the service of the staffs is good and secure,5,Positive
biryani taste is good. service is also good. the ambience and the waiter response also is good. the table was well maintained and clean. there was no waiting for food,5,Positive
i like the way the staff treats the customers... and the coolest thing i've seen is the food presentation.. and also the food.. that's tooo good especially the supreme chicken biryani,5,Positive
the biryani was good.the service is good.suggest everyone to visit.its a good place to come with the family and it's a place where you can visit again and again,4,Positive
"haleem is very very good and i am enjoying the food
and nice place in paradise gachibowli
and service is very good i like it
next time visit again",5,Positive
"we had haleem and mutton biryani, both of the dishes were amazingly well cooked. the service provided here is tremendous. must visit restaurant.",5,Positive
menu is good.service is also good.taste is good .biryani is good.all items are good.birya is having nice flavour.staturs or good and lime shoda is good.,5,Positive
food is delicious and service is also good. environment is very good with pleasant pictures on the walls and veg items must be specially tried,5,Positive
delighted with the taste.always expect very fair and good service.value for the money!had an awesome hangout here.i always recommend this place.,5,Positive
good food and the service of quality are very good and the ambiance and hospitality are amazing t i really enjoyed the food judi busy bug birth nick,5,Positive
"chiken biriyani is very good and
muttan biriyani is very good and
service is very very good so i am happy
nice place in paradise gachibowli next time visit again",5,Positive
i am regular customer in paradise but i am first time zomato ratting given very delicious chicken biriyani very speed service and staff also very good thank you paradise,5,Positive
excellent food over the years . don’t miss whenever you visit hyderabad . you love paradise biryani much more than hyderabad. excellent services .............,5,Positive
"chicken biriyani is very good and chicken pice is very soft
and
place is very good and
service is very good and so i am happy
and
nexr time visit again with my friends",5,Positive
mutton biryani is amazing as always. expecting to increase the quantity. ambience is good. staff is good. quick response to everything. food was served within no time which is really appreciated,5,Positive
awesome food.. but services degraded compared to last year... will come next time for sure... but expecting thing better than this... thank you,5,Positive
"polite and friendly. visited this place for the 3rd time, and the food is decent enough. good place to visit with the family for dinner and lunch.",5,Positive
"mumbaikars have heard about the famous paradise restaurant... hence decided to try out this one with great hope.
ambience at this place is great; however i was not really impressed with the food and service.

we ordered :
chilli chicken : 2.5/ 5
paneer tikka : 3.5/5
chicken masala : 0.1/5 ... lowest rating possible
chicken biryani: 3/5
garlic naan: 2/5

the staff were least bothered and kept us waiting for like 20 mins jus to take order and after all that the food was very disappointing. this is only a much hyped restaurant. i would not go and recommend this place to anyone for frequent dine experience.",1,Very Negative
"ordered mutton haleem. it was awesome! taste of it has been really exceptional while comparing with the big names as pista house & shah ghouse. definitely try, if you are found of haleem.",5,Positive
"chicken biryani, chillie chicken were really tasty...service is very good and nice place in paradise gachibowli so happy
next time visiting again",5,Positive
"friendly staff,ambience is so good,hygiene ,got to know about the history of paradise and the biryani here is must and should try anyone can fall in love with this",5,Positive
"ambiance is very good and food was very good and we all have tasted different flavours our office team had a very good time ,staff were very polite and friendly",5,Positive
gud food..fast service.. best people in the restaurant so fast delivery asking me to rate the restaurant nice restaurant good service many badtrips in the filed don't go,4,Positive
kebab was tasty also the service was very prompt the staff was very courteous too. kunal catered to all our needs and saw it to it we had a good time. a must visit place for all biryani lovers!!,5,Positive
biriyani is good and provided a good service and ur restaurant was nice and looking goodbiriyani is good and provided a good service and ur restaurant was nice and looking goodbiriyani is good and provided a good service and ur restaurant was nice and looking good,5,Positive
the taste of the food is good. the varieties as well are many. they can work on the ambience of the restaurant. service was pretty fast. overall if you are a fan of biryani. you can visit it as many times as you can.,5,Positive
"very good service and food, chicken lollipop was delicious and so was the chicken biryani, large portions so you won’t be left hungry, please do visit",5,Positive
"service was amazing been to biryani places but paradise birayani taste great ,
place is cozy and great to hang out with friends
would love to visit again",5,Positive
